activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
lifted heavy paper and boxes,,
lifted heavy plastic bags of soil,,
lifted heavy roll roofing material,,
lifted heavy suitcases,,
lifted heavy table,,
lifted heavy tote of clothes overhead,,
lifted heavy tv,,
lifted heavy water bottle carriers,,
lifted heavy weights at gym,,
lifted her husband out of bed,,
lifted her out of bed,,
lifted him from wheelchair to bed,,
lifted his 300 lb mower to get it out of the mud,,
lifted his bed and mattress,,
lifted his daughter over a baby gate,,
lifted his wife out of the bathtub,,
lifted into a stair chair,,
lifted kids pool,,
lifted laundry,,
lifted laundry basket,,
lifted lawn mower,,
lifted luggage,,
lifted mattress upstairs,,
lifted metal pipe,,
lifted nail,,
lifted off cap of nail polish,,
lifted off the couch,,
lifted off top of slow cooker,,
lifted overhead,,
lifted picture frame,,
lifted propane stove,,
lifted pt out of pool,,
lifted self up from elevated platform,,
lifted several heavy boxes,,
lifted sm bag of kitty litter,,
lifted small weights,,
lifted some heavy boxes,,
lifted stereo speaker,,
lifted suitcase off belt,,
lifted suitcase overhead to place on garage shelf,,
lifted table,,
lifted table off ground,,
lifted television,,
lifted the couch few inches off the floor,,
lifted the lid off boiling water,,
lifted the mattress,,
lifted the pt,,
lifted toilet,,
lifted tool box,,
lifted tote,,
lifted toy truck,,
"lifted trash over head into commercial dumpster, working on a bicycle",,
lifted turned bed,,
lifted up a bed,,
lifted up a box,,
lifted up a door,,
lifted up a floor tile,,
lifted up a heavy bin full of clothes,,
lifted up a mattress,,
lifted up a pallet of water bottles,,
lifted up a suitcase from back of car at airport,,
lifted up and repositioned in bed,,
lifted up by arms from her crib,,
lifted up by older sibling,,
lifted up her purse,,
lifted up his mother from the floor,,
lifted up in the air,,
lifted up into the bed,,
lifted up laundry basketwire,,
lifted up some buckets full of mud,,
lifted up the glass top on a coffee table to clean it,,
lifted up wheelbarrow,,
lifted vacuum,,
lifted washer,,
lifted washing machine,,
lifted washing maching,,
lifted water hose over fence,,
lifted weight,,
lifted weight did squat,,
lifted weights,,
lifted weights and used exercise bike at gym,,
lifted weights at gym,,
lifted weights then began running on treadmill,,
"lifted weights, played basketball",,
lifted wheel barrow filled with manure over head,,
lifted wheelbarrow to put wheels on it,,
lifting,,
lifting 10 lb dumbbells at gym,,
lifting 10 lb weights,,
lifting 100 lb bags of fertilizer,,
lifting 100 lb weights,,
lifting 100lb weight,,
lifting 1015 gallon containers of water and dumping them out,,
lifting 10lbs at the gym,,
lifting 150 sliding glass door,,
lifting 150lb steel bar on back of truck,,
lifting 1520 lb bag,,
lifting 18 pound bag of dog food from back of her car,,
lifting 180 lb weight,,
lifting 2 35lbs boxes,,
lifting 2 air conditioners,,
lifting 2 cases of bottled water,,
lifting 2 cases of water for his mom,,
lifting 2 jugs of water,,
lifting 2 large boxes of bottle water,,
lifting 20 pound weights,,
lifting 200 pound weights,,
lifting 200lb weight while on inclined bench,,
lifting 20lb sand bags,,
lifting 225 lbs at gym,,
lifting 24 pak water bottles,,
lifting 240 lb bags of dog food,,
lifting 240lb,,
lifting 25 lb box,,
lifting 260lb weight,,
lifting 3 lb weights,,
lifting 30 bucket of h2o,,
lifting 30 lbs box into his truck,,
lifting 30lbs-40lbs suitcase,,
lifting 345lb bar bell,,
lifting 3lb weights,,
lifting 4 cases of water,,
lifting 40 lb bag of soil,,
lifting 40 lb box,,
lifting 40 lb child,,
lifting 40 lb water cases,,
lifting 40 pound bag of bird seed,,
lifting 40 pound luggage,,
lifting 4050 lbs dumbbells,,
lifting 40lb bag of dog food,,
lifting 40lb box,,
lifting 40lb boxes,,
lifting 45 lb weights,,
lifting 45lb weight,,
lifting 5 gallon bottle of water and carrying it,,
lifting 5 gallon bucket,,
lifting 5 gallon bucket of paint,,
lifting 5 gallon bucket of water,,
lifting 5 gallon of water jug,,
lifting 50 lb bag of sand,,
lifting 50 lb bags animal feed,,
lifting 50 lb weight,,
lifting 50 pound bags of mulch,,
lifting 50 pound weight on back,,
lifting 500lb weights,,
lifting 50lb boxes up stairs,,
lifting 50lb cement bags,,
lifting 50lb weights,,
lifting 6070 pounds,,
lifting 60lb bag,,
lifting 65 lb weights,,
lifting 90lb boxes,,
lifting 95 lb weight,,
lifting a ***,,
lifting a 100 lb bag,,
lifting a 100 pound box out of the back of his pickup,,
lifting a 10lb box,,
lifting a 120 pound vacuum cleaner up stairs,,
lifting a 12pack box of soda,,
lifting a 12pk of beer,,
lifting a 14 month old child into crib,,
lifting a 15 pound bag of trash,,
lifting a 15 pound blanket,,
lifting a 15 pound bucket,,
lifting a 150lb barbell,,
lifting a 150lb chair,,
lifting a 2 gallon bucket or 2 gallon container,,
lifting a 200lb freezer,,
lifting a 24 case of bottled water,,
lifting a 24 pack of water,,
lifting a 24 water bottle pack,,
lifting a 30 boxls,,
lifting a 30 gal water barrel,,
lifting a 30ft ladder,,
lifting a 40 lb box,,
lifting a 40 pound bag of rice,,
lifting a 40lbs box off ground,,
lifting a 45 lb weight at the gym,,
lifting a 4wheeler,,
lifting a 5 gallon bucket of water,,
lifting a 5 gallon jug of water,,
lifting a 5 gallon paint can,,
lifting a 5 gallon water jug,,
lifting a 50 lb box,,
lifting a 50 pound bag,,
lifting a 50 pound bag of concrete,,
lifting a 50 pound bag of dog food,,
lifting a 50 pound box,,
lifting a 500 lb tool box up stairs,,
lifting a 50lb bag of cat litter,,
lifting a 50lb luggage,,
lifting a 50lb sack,,
lifting a 55 gallon drum of water,,
lifting a 5gallon bucket of water,,
lifting a 6 lb box,,
lifting a 60 pound container,,
lifting a 70lb table up off the ground,,
lifting a 75 pound roll of plastic,,
lifting a 90 lb wt,,
lifting a 90 pound jack from the bed of his pick up truck,,
lifting a baby swing,,
lifting a backpack,,
lifting a bag,,
lifting a bag of cement,,
lifting a bag of clothes,,
lifting a bag of dirt,,
lifting a bag of dog food,,
lifting a bag of feed,,
lifting a bag of feed for animals,,
lifting a bag of garbage,,
lifting a bag of ice,,
lifting a bag of mulch,,
lifting a bag of mulch over head,,
lifting a bag of potatoes,,
lifting a bag of rock salt,,
lifting a bag of wet clothes,,
lifting a basket,,
lifting a basket full of heavy items,,
lifting a battery,,
lifting a bed,,
lifting a bed cleaning room support beam for mattress,,
lifting a bed while moving into a house,,
lifting a bedrail,,
lifting a bicycle,,
lifting a big pot of food too fast,,
lifting a bike,,
lifting a bike into truck,,
lifting a bin,,
lifting a bin filled w coins,,
lifting a bird bath,,
lifting a blender,,
lifting a boat,,
lifting a boat battery,,
lifting a boiler,,
lifting a boiling pot of ramen off the stove,,
lifting a book case,,
lifting a book off the ground,,
lifting a book shelf,,
lifting a box,,
lifting a box above her head to put it away,,
lifting a box full of cans,,
lifting a box of dishes,,
lifting a box of vegetables,,
lifting a box out of closet,,
lifting a box over his head,,
lifting a box up over her head,,
"lifting a box, putting leash on dog",,
lifting a broken toilet,,
lifting a bucket,,
lifting a bucket of hot water to out in her bathtub,,
lifting a bucket of paint,,
lifting a bucket of rocks,,
lifting a bucket of water,,
lifting a bunch of party tables,,
lifting a cabinet,,
lifting a car,,
lifting a car battery,,
lifting a car battery out of a car,,
lifting a car jack,,
lifting a car seat,,
lifting a car with a jack,,
lifting a cardboard box,,
lifting a carseat,,
lifting a cart,,
lifting a case of ***,,
lifting a case of beer,,
lifting a case of beer at a grocery store,,
lifting a case of bottled water,,
lifting a case of bottles,,
lifting a case of drinking water,,
lifting a case of eggs,,
lifting a case of sauce,,
lifting a case of soda,,
lifting a case of soda boxes,,
lifting a case of water,,
lifting a case of water bottles,,
lifting a case of water bottles into her car,,
lifting a case of water to put in her cabinet,,
lifting a cast iron bathtub from the back of a truck,,
lifting a cast iron pot,,
lifting a cement block,,
lifting a chair,,
lifting a chair out of her car,,
lifting a chair over other chair,,
lifting a chair to rearrange furniture,,
lifting a child from a crib,,
lifting a child in a carseat,,
lifting a child onto a changing table,,
lifting a childs car seat,,
lifting a clock,,
lifting a closet door,,
lifting a commode,,
lifting a computer,,
lifting a computer tablet off the couch,,
lifting a container,,
lifting a container of clothes,,
lifting a containerbox,,
lifting a cooking knife,,
lifting a cooler,,
lifting a cooler out of the back of a truck,,
lifting a couch,,
lifting a couch down stairs,,
lifting a couch with a child sitting on it,,
lifting a couple of heavy boxes,,
lifting a couple of heavy crates of water,,
lifting a crate,,
lifting a crib,,
lifting a culvert,,
lifting a desk,,
lifting a dirt bike,,
lifting a dishwasher,,
lifting a dog crate,,
lifting a double window,,
lifting a dresser,,
lifting a dresser off of a shelf,,
lifting a dresser out the back of truck,,
lifting a dresser up several flights of stairs,,
lifting a female,,
lifting a fence,,
lifting a filled shopping cart,,
lifting a fish tank,,
lifting a five gallon plastic container of water,,
lifting a floor jack,,
lifting a floor sander out of car,,
lifting a flower box,,
lifting a flower pot,,
lifting a flower pot from the back of car to the front of car,,
lifting a four wheeler atv,,
lifting a four wheeler onto a trailer,,
lifting a friend,,
lifting a friend off the floor,,
lifting a friends luggage,,
lifting a full box of cat litter,,
lifting a full fish tank in awkward position,,
lifting a full gas can,,
lifting a full laundry basket,,
lifting a futon,,
lifting a gallon jug of bleach,,
lifting a gallon of juice at the grocery store,,
lifting a gallon of milk,,
lifting a garage door,,
lifting a garbage bag,,
lifting a garbage bag into a bin,,
lifting a garbage bag off the ground,,
lifting a garbage can,,
lifting a garbage can into his truck,,
lifting a gas can,,
lifting a gate,,
lifting a gate overhead,,
lifting a generator,,
lifting a glass showerdoor,,
lifting a golf cart tire,,
lifting a grill,,
lifting a heavy 50lb object,,
lifting a heavy ac unit out of a window,,
lifting a heavy air conditioning,,
lifting a heavy amplifier,,
lifting a heavy backpack,,
lifting a heavy bag,,
lifting a heavy bag at the grocery store,,
lifting a heavy bag containing bottles of tea,,
lifting a heavy bag filled with clothing,,
lifting a heavy bag of cat litter,,
lifting a heavy bag of charcoal,,
lifting a heavy bag of concrete,,
lifting a heavy bag of groceries,,
lifting a heavy bag of laundry over her head,,
lifting a heavy bag of mulch,,
lifting a heavy bag of salt,,
lifting a heavy bag of trash,,
lifting a heavy bag of trash out of vehicle,,
lifting a heavy bag over his shoulder,,
lifting a heavy bag while bent at waist,,
"lifting a heavy bag, swinging a pillow",,
lifting a heavy bar,,
lifting a heavy basket,,
lifting a heavy basket of clothes up the stairs,,
lifting a heavy basket of laundry,,
lifting a heavy battery,,
lifting a heavy bbq pit,,
lifting a heavy binms,,
lifting a heavy book,,
lifting a heavy bowl,,
lifting a heavy box,,
lifting a heavy box containing turkeys,,
lifting a heavy box into the back of his van,,
lifting a heavy box of chicken,,
lifting a heavy box onto an overhead shelf,,
lifting a heavy box over head,,
lifting a heavy box over her head,,
lifting a heavy box up stairs,,
lifting a heavy box while sitting on the toilet bending over attempting to wipe,,
lifting a heavy bucket,,
lifting a heavy bucket full of water,,
lifting a heavy bucket up the stairs,,
lifting a heavy cabinet,,
lifting a heavy can,,
lifting a heavy cardboard box,,
lifting a heavy cardboard box out of her vehicle,,
lifting a heavy carpet pad,,
lifting a heavy case of water,,
lifting a heavy case of water bottles,,
lifting a heavy case of winebeerms,,
lifting a heavy cement fountain,,
lifting a heavy chair,,
lifting a heavy chest,,
lifting a heavy coffee table,,
lifting a heavy container,,
lifting a heavy container full of food,,
lifting a heavy container of bottles,,
lifting a heavy container of cooking oil,,
lifting a heavy container of dishes,,
lifting a heavy container of liquid,,
lifting a heavy container of water,,
lifting a heavy cooking pot,,
lifting a heavy cooler,,
lifting a heavy couch,,
lifting a heavy crate,,
lifting a heavy deck,,
lifting a heavy delivery box,,
lifting a heavy doll house,,
lifting a heavy door,,
lifting a heavy dresser,,
lifting a heavy dresser while going down the stairs,,
lifting a heavy duffel bag and swinging it around to put it on his shoulder,,
lifting a heavy engine part with a chain,,
lifting a heavy file cabinet,,
lifting a heavy five gallon bucket of paint,,
lifting a heavy floor mat,,
lifting a heavy flower pot,,
lifting a heavy freezer,,
lifting a heavy garage door,,
lifting a heavy garbage bin,,
lifting a heavy garbage can,,
lifting a heavy gate,,
lifting a heavy generator,,
lifting a heavy glass table,,
lifting a heavy glass table top,,
lifting a heavy grill,,
lifting a heavy grocery bag,,
lifting a heavy hose,,
lifting a heavy jar,,
lifting a heavy jug of wine,,
lifting a heavy keg,,
lifting a heavy laundry basket,,
lifting a heavy laundry basket with clothes,,
lifting a heavy lawn mower,,
lifting a heavy linen bag,,
lifting a heavy load of laundry,,
lifting a heavy mattress,,
lifting a heavy metal automotive ramp,,
lifting a heavy microwave,,
lifting a heavy mirror,,
lifting a heavy object,,
lifting a heavy object off a saw horse,,
lifting a heavy object off a shelf,,
lifting a heavy object out of the refrigerator,,
lifting a heavy object to put into the refrigerator,,
lifting a heavy oven,,
lifting a heavy package,,
lifting a heavy package from her front porch,,
lifting a heavy pallet,,
lifting a heavy pan,,
lifting a heavy piece of fabric,,
lifting a heavy piece of furniture,,
lifting a heavy pipe,,
lifting a heavy plant pot,,
lifting a heavy plastic bag of garbage,,
lifting a heavy plasticbag,,
lifting a heavy pool,,
lifting a heavy pot,,
lifting a heavy pot from the floor,,
lifting a heavy pot out of her oven,,
lifting a heavy propane tank,,
lifting a heavy ramp,,
lifting a heavy roll of carpet,,
lifting a heavy rug,,
lifting a heavy safe,,
lifting a heavy shelf,,
lifting a heavy shelf out of the trunk of her car,,
lifting a heavy shopping cart on stairs,,
lifting a heavy sofa,,
lifting a heavy speaker,,
lifting a heavy speaker above his head,,
lifting a heavy stack of dinner plates,,
lifting a heavy stroller,,
lifting a heavy suitcase,,
lifting a heavy suitcase out of the trunk of his car,,
lifting a heavy tarpaulin,,
lifting a heavy television,,
lifting a heavy toilet seat,,
lifting a heavy toolbox,,
lifting a heavy trash bag,,
lifting a heavy trash can,,
lifting a heavy trash can liner,,
lifting a heavy tv,,
lifting a heavy tv set,,
lifting a heavy water bottle,,
lifting a heavy water jug,,
lifting a heavy watermelon,,
lifting a heavy weight at gym,,
lifting a heavy weight out of the bed of his pickup truck,,
lifting a heavy weighted blanket,,
lifting a heavy window air conditioner unit,,
lifting a heavy wool rug,,
lifting a heavybox,,
lifting a hot tub,,
lifting a hutch,,
lifting a jack,,
lifting a jar,,
lifting a jar of water,,
lifting a jug of water,,
lifting a ladder,,
lifting a large bag of grain,,
lifting a large bag of yard waste,,
lifting a large box of books,,
lifting a large computer monitor into a dumpster,,
lifting a large dog cage,,
lifting a large jug of water,,
lifting a large television,,
lifting a large tire,,
lifting a large tool box,,
lifting a large tv,,
lifting a laundry basket,,
lifting a laundry basket full of clothes,,
lifting a laundry basket full of clothing,,
lifting a laundry basket full of laundry,,
lifting a laundry basket of clothes,,
lifting a lawn mower,,
lifting a lawn mower into a car,,
lifting a lawn mower into the back of his truck,,
lifting a lawn tractor,,
lifting a lawnmower,,
lifting a lawnmower into his truck,,
lifting a lg 300 can filled w apples,,
lifting a lg can of baked beans,,
lifting a lg open dresser,,
lifting a light bundle of laundry,,
lifting a litter box,,
lifting a load of laundry,,
lifting a load of t shirts,,
lifting a lot of heavy boxes,,
lifting a lot of heavy furniture,,
lifting a lot of heavy plastic totes,,
lifting a loved one and lifting heavy boxes,,
lifting a mattress,,
lifting a mattress to clean,,
lifting a mattress up from off the floor,,
lifting a medicine ball over his head,,
lifting a metal door into a truck,,
lifting a metal garage door,,
lifting a metal shelf,,
lifting a metal table,,
lifting a metal tin,,
lifting a microwave oven,,
lifting a milk crate,,
lifting a moped,,
lifting a moving boxes,,
lifting a n air conditioner,,
lifting a nephew from a bathtub,,
lifting a new dog crate,,
lifting a nightstand table and moving other furniture,,
lifting a pack of water bottles,,
lifting a package,,
lifting a package at post office,,
lifting a package of canned soda up some stairs,,
lifting a package of water,,
lifting a package up off the floor,,
lifting a paint sprayer,,
lifting a pallet,,
lifting a pallet off a truck,,
lifting a pan from refrigerator to counter,,
lifting a pan of bacon fat from oven,,
lifting a pcs of ceramic,,
lifting a person from the floor,,
lifting a piano,,
lifting a piece of furniture,,
lifting a piece of heavy furniture,,
lifting a pizza box,,
lifting a planter,,
lifting a pool table,,
lifting a porcelain toilet,,
lifting a pot of soup,,
lifting a power lawn mower,,
lifting a power washer,,
lifting a propane tank,,
lifting a property box for exercise,,
lifting a queen size bed,,
lifting a queen size mattress,,
lifting a recliner,,
lifting a recliner chair up stairs,,
lifting a recliner from house to car,,
lifting a refirgerator,,
lifting a refrigerator,,
lifting a refrigerator into a truck,,
lifting a riding lawn mower,,
lifting a riding toy,,
lifting a roll of carpeting,,
lifting a rug,,
lifting a safe,,
lifting a sander out of his pickup truck,,
lifting a set of golf clubs,,
lifting a sewing machine,,
lifting a shed,,
lifting a shelf,,
lifting a shelf up over her head,,
lifting a shopping cart filled w clothes up 5 flights of stairs,,
lifting a six pack of food cans,,
lifting a small dresser,,
lifting a small refrigerator,,
lifting a small shopping cart up stairs,,
lifting a snow mobile,,
lifting a soda can out of the car,,
lifting a sofa,,
lifting a stack of dishes,,
lifting a stack of shingles,,
lifting a stereo speaker,,
lifting a stool,,
lifting a stove,,
lifting a stroller,,
lifting a suitcase,,
lifting a suitcase into back of car,,
lifting a swamp cooler,,
lifting a swimming pool pump,,
lifting a table,,
lifting a table from her truck,,
lifting a table up for a party,,
lifting a tarp,,
lifting a teammate,,
lifting a television,,
lifting a tiller into his truck,,
lifting a tire at the gym,,
lifting a tire jack,,
lifting a toilet,,
lifting a toilet bowl,,
lifting a toilet seat,,
lifting a toolbox out of a truck and bending,,
lifting a tote,,
lifting a tractor out of a truck,,
lifting a trash bag,,
lifting a trash can,,
lifting a treadmill,,
lifting a tv,,
lifting a tv set,,
lifting a tv trying to mount it on a wall,,
lifting a vacuum,,
lifting a vacuum cleaner,,
lifting a vase,,
lifting a very heavy trash bag,,
lifting a video game console,,
lifting a washer,,
lifting a washer and dryer,,
lifting a washer-dryer,,
lifting a washing machine,,
lifting a washing machine dryer,,
lifting a washing machine to put into a truck,,
lifting a washing machine up some stairs,,
lifting a water heater,,
lifting a water jug,,
lifting a weight,,
lifting a weight while exercising,,
lifting a welding machine,,
lifting a wicker basket full of books,,
lifting a window,,
lifting a wood stove onto a shelf,,
lifting a wooden childrens kitchen set,,
lifting abig tv,,
lifting ac,,
lifting ac unit,,
lifting ac unit from back of truck,,
lifting after perform squatdrills,,
lifting air conditionar,,
lifting air conditioner,,
lifting air conditioner unit,,
lifting air purifier unit,,
lifting airconditioner,,
lifting an 80 bag of cement,,
lifting an 80 lb car battery,,
lifting an 80lb battery,,
lifting an 80lbs box,,
lifting an air compressor,,
lifting an air conditioner,,
lifting an air conditioner into a window,,
lifting an air conditioner unit,,
lifting an air conditioner unit out of her camper,,
lifting an air hockey table,,
lifting an appliance,,
lifting an area rug and a picture frame,,
lifting an elliptical training machine,,
lifting an empty box,,
lifting an entertainment center,,
lifting an oak entertainment center,,
lifting an object,,
lifting an object off floor,,
lifting an object off shelf,,
lifting an object under staircase,,
lifting an old heavy television,,
lifting an old recliner up stairs,,
lifting an ottoman,,
lifting an oven,,
lifting an oven up steps,,
lifting and carrying 5gal bucket of water,,
lifting and carrying a large bag of salt,,
lifting and carrying boxes,,
lifting and carrying heavy trash bags,,
lifting and carrying large bags,,
lifting and cleaning house,,
lifting and doing situps,,
lifting and dragging a refrigerator,,
lifting and dropping portable heat radiator,,
lifting and loading a 4 inch discharge hose,,
lifting and loading of containers boxes bikes,,
lifting and moving a couch,,
lifting and moving a refrigerator,,
lifting and moving a washer and dryer,,
lifting and moving and playing golf,,
lifting and moving boxes,,
lifting and moving boxes and furniture,,
lifting and moving chair,,
lifting and moving furniture,,
lifting and moving heavy boxes,,
lifting and moving heavy furniture,,
lifting and moving her mother,,
lifting and moving luggage,,
"lifting and prolonged standing, preparing for thanksgiving",,
lifting and pulling heavy suitcases,,
lifting and pushing a box of heavy pallets and helping his friend move,,
lifting and pushing bins with clothes,,
lifting and putting a 45 lb plate on the barbell,,
lifting and putting on her backpack,,
lifting and rearranging furniture,,
lifting and running,,
lifting and then dropping refrigerator,,
lifting and throwing the towel over the bar,,
lifting and turning over her mattress,,
lifting and unplugging stove,,
lifting another cheerleader practice,,
lifting another student,,
lifting arm,,
lifting artwork,,
lifting at gym,,
lifting at the gym,,
"lifting at the gym, bending over to lift up bowl in the kitchen",,
lifting attic pull down stairs,,
lifting baby carrier,,
lifting baby from crib,,
lifting baby out of crib,,
lifting back pack into locker,,
lifting backpack,,
lifting bag,,
lifting bag from shelf,,
lifting bag of cat litter,,
lifting bag of groceries,,
lifting bag of groceries from the ground,,
lifting bag of laundry,,
lifting bag of mulch and throwing yard mulch in garden,,
lifting bag of trash out of trash can,,
lifting bags,,
lifting bags and boxes,,
lifting bags of clothes,,
lifting bags of garbage,,
lifting bags of groceries,,
lifting bags of mulch,,
lifting bags of sand,,
lifting basin,,
lifting basketball,,
lifting batteries,,
lifting bbq grill into truck,,
lifting bed,,
lifting bed from wall,,
lifting bedframe,,
lifting benches,,
lifting bicycle,,
lifting big screen tv,,
lifting bird cages,,
lifting birdbath,,
lifting books,,
lifting books out of backpack,,
lifting bottle case of water,,
lifting box,,
lifting box above head and twisting,,
lifting box of clothes,,
lifting box of crabs,,
lifting box of fruits,,
lifting box of heavy dishes,,
lifting box of laundry detergent,,
lifting box off floor,,
lifting box off shelf,,
lifting box overhead,,
lifting box while moving,,
lifting boxes,,
lifting boxes and crates,,
lifting boxes and doing a lot of painting,,
lifting boxes and exercising,,
lifting boxes and getting in and out of a pickup,,
lifting boxes and moving furniture,,
lifting boxes and moving house,,
lifting boxes and putting shelves together,,
lifting boxes and suitcases while moving,,
lifting boxes furniture while moving,,
lifting boxes helping family move,,
lifting boxes of christmas decorations,,
lifting boxes of food,,
lifting boxes of tulip bulbs,,
lifting boxes onto shelves in storage unit,,
lifting boxes while moving,,
lifting boxes while moving from one home to another,,
lifting bricks,,
lifting brothers plastic basketball hoop with her head to make it taller,,
lifting bucket,,
"lifting bucket of sand, tripped over blanket",,
lifting bucket of water,,
lifting buckets of dirt,,
lifting cabinet,,
lifting cabinets,,
lifting car battery,,
lifting car seat,,
lifting cardboard boxes,,
lifting carpet,,
lifting carrier,,
lifting carrying a case of water,,
lifting cartons,,
lifting case of water,,
lifting cases of water,,
lifting cat litter,,
lifting cement bag,,
lifting ceramic plate from microwave,,
lifting chain weights,,
lifting chair into a truck,,
lifting chairs,,
lifting chairs for church event,,
lifting child from floor,,
lifting child out of bathtub,,
lifting childs crib,,
lifting christmas decorations,,
lifting christmas tree,,
lifting cigarette tray,,
lifting class,,
lifting clothes dryer,,
lifting clothes out of clothes dryer,,
lifting clothes out of washing machine to put in dryer,,
lifting clothing out of clothesdryer,,
lifting coffee cup,,
lifting coffee table,,
lifting coffin,,
lifting container,,
lifting container out of box,,
lifting cooler,,
lifting couch,,
lifting couch to vacuum under,,
lifting countertops,,
lifting crates from the trunk of her car,,
lifting crib,,
lifting dads weights,,
lifting daughter,,
lifting daughter from couch,,
lifting daughter from stroller,,
lifting daughter into shopping cart,,
lifting daughter off the bed,,
lifting daughter out of car seat,,
lifting deer onto 4 wheeler,,
"lifting detergent, picked up a 6 lb weight",,
lifting disabled husband out of bed,,
lifting dishes,,
lifting dishwasher on deck,,
lifting dog in bathtub,,
lifting door,,
lifting drawer,,
lifting dresser,,
lifting drywall,,
lifting duffle bag,,
lifting dumb bell exercising,,
lifting dumbbells,,
lifting dumbbells and carrying them downstairs,,
lifting dumbbells over his head at the gym,,
lifting dumbbellsworking out,,
lifting electric scooter from their van,,
lifting elliptical machine,,
lifting empty bucket,,
lifting entertainment center,,
lifting father out of bed,,
lifting file cabinet,,
lifting fish tank,,
lifting flower pot,,
lifting foldable canopy,,
lifting foldable stage at church,,
"lifting folding chairs, trash bags",,
lifting food and spilling grease and hot water,,
lifting foot to scratch it,,
lifting free weights,,
lifting free weights while doing squats,,
lifting freezers,,
lifting from bathtub,,
lifting full jugs of gasoline into back of truck,,
lifting furniture,,
lifting furniture and heavy boxes,,
lifting furniture up stairs,,
lifting furniture while cleaning,,
lifting gallon of milk in refrigerator,,
lifting garage door,,
lifting garbage,,
lifting garbage bag,,
lifting garbage can,,
lifting garbage cans,,
lifting garden hoses,,
lifting generator,,
lifting grandbaby from crib,,
lifting grandchild into shopping cart,,
lifting grandchild out of high chair,,
lifting granddaughter out of car seat,,
lifting grandma from bed to the floor to do cpr,,
lifting grandson,,
lifting grill off truck,,
lifting groceries bags out of car,,
lifting groceries out of shopping cart into the car,,
"lifting groceries, cat litter",,
lifting grocery bags,,
lifting grocery bags onto washing machine,,
lifting grocery bags over side of her pu truck,,
lifting grocery items into her cart while shopping,,
lifting guy off couch,,
lifting halloween stuff decorations,,
lifting handtruck,,
lifting head to get out of bed,,
lifting headboard,,
lifting headboard of king size bed,,
lifting heavy ***cum full of h2oms,,
lifting heavy 5 gallon water bottle,,
lifting heavy airconditioner,,
lifting heavy backpack,,
lifting heavy bag,,
lifting heavy bag filled c packages,,
lifting heavy bag from floor,,
lifting heavy bag into cardx,,
lifting heavy bag of canned food,,
lifting heavy bag of dog food,,
lifting heavy bag of flour,,
lifting heavy bag of groceries,,
lifting heavy bag of onions,,
lifting heavy bag of potting soil,,
lifting heavy bag over shoulder,,
lifting heavy bags,,
lifting heavy bags and a heavy purse,,
lifting heavy bags of clothes,,
lifting heavy bags of groceries,,
lifting heavy bags of laundry,,
lifting heavy bags of leaves,,
lifting heavy bags of meat,,
lifting heavy bags of mortar,,
lifting heavy bags of mulch,,
lifting heavy bags while shopping,,
lifting heavy band equipment,,
lifting heavy bin,,
lifting heavy book bag,,
lifting heavy books,,
lifting heavy bottle of water,,
lifting heavy bottles of water,,
lifting heavy box,,
lifting heavy box and coughing,,
lifting heavy box in the attic,,
lifting heavy box of water,,
lifting heavy box of water bottles,,
lifting heavy box to wrap,,
"lifting heavy box, fell down stairs",,
lifting heavy boxes,,
lifting heavy boxes above her head,,
lifting heavy boxes and doing laundry,,
lifting heavy boxes and furniture,,
lifting heavy boxes and moving,,
lifting heavy boxes at the food pantry,,
lifting heavy boxes during a recent move,,
lifting heavy boxes from his car,,
lifting heavy boxes into a closet,,
lifting heavy boxes of chicken,,
lifting heavy boxes of fruit over his head,,
lifting heavy boxes of juicems,,
lifting heavy boxes vs bags of ice,,
lifting heavy boxes while moving,,
"lifting heavy boxes, sleeping on air mattress",,
lifting heavy boxs,,
lifting heavy bucket,,
lifting heavy buckets,,
lifting heavy buckets of paint,,
lifting heavy buckets of soil for gardening,,
lifting heavy buckets of water,,
lifting heavy cabininte,,
lifting heavy cans,,
lifting heavy cardboard boxes,,
lifting heavy cardboard boxes and moving heavy furniture,,
lifting heavy carpet,,
lifting heavy cart,,
lifting heavy case of water,,
lifting heavy cases of water,,
lifting heavy ceramic jug,,
lifting heavy coffee tables,,
lifting heavy container,,
lifting heavy containers,,
lifting heavy containers of hurricane supplies,,
lifting heavy couch,,
lifting heavy dresser,,
lifting heavy dressers,,
lifting heavy equipment,,
lifting heavy feed bags for her horses,,
lifting heavy flower pot,,
lifting heavy flower pots,,
lifting heavy fuel jog to pour it into fuel tank,,
lifting heavy furniture,,
lifting heavy furniture at a hotel,,
lifting heavy furniture in a move,,
lifting heavy furniture when moving,,
lifting heavy furnitures,,
lifting heavy garage door,,
lifting heavy garbage bag,,
lifting heavy garbage can over snowdrift,,
lifting heavy generator,,
lifting heavy grandchild,,
lifting heavy grocery bag,,
lifting heavy grocery bags,,
lifting heavy grocery bags up multi flights of stairs,,
lifting heavy ice cooler,,
lifting heavy iron bed,,
lifting heavy item,,
lifting heavy item down from high shelf,,
lifting heavy item from floor,,
lifting heavy keg,,
lifting heavy lamp,,
lifting heavy large containers,,
lifting heavy laundry,,
lifting heavy laundry basket,,
lifting heavy laundry basket full of clothes,,
lifting heavy lawnmower,,
lifting heavy load of laundry,,
